модель;8 бар;10 бар
HC-7,5DT;1;0.9
HC-7,5DTE;1;0.9
HC-7,5DF;1;0.9
HC-7,5DFE;1;0.9
HB-7,5DT;1;0.9
HB-7,5DTE;1;0.9
HB-7,5DF;1;0.9
HB-7,5DFE;1;0.9
HC-11DT;1.88;1.5
HC-11DTE;1.88;1.5
HC-11DF;1.88;1.5
HC-11DFE;1.88;1.5
HB-11DT;1.88;1.5
HB-11DTE;1.88;1.5
HB-11DF;1.88;1.5
HB-11DFE;1.88;1.5
HC-15DT;2;1.78
HC-15DTE;2;1.78
HC-15DF;2;1.78
HC-15DFE;2;1.78
HB-15DT;2.2;1.85
HB-15DTE;2.2;1.85
HB-15DF;2.2;1.85
HB-15DFE;2.2;1.85
HA-15DT;2.2;1.85
HA-15DTE;2.2;1.85
HA-15DF;2.2;1.85
HA-15DFE;2.2;1.85
HC-18,5DT;3;2.2
HC-18,5DTE;3;2.2
HC-18,5DF;3;2.2
HC-18,5DFE;3;2.2
HB-18,5DT;3;2.2
HB-18,5DTE;3;2.2
HB-18,5DF;3;2.2
HB-18,5DFE;3;2.2
HC-22DT;3.2;2.9
HC-22DTE;3.2;2.9
HC-22DF;3.2;2.9
HC-22DFE;3.2;2.9
HB-22DT;3.2;2.9
HB-22DTE;3.2;2.9
HB-22DF;3.2;2.9
HB-22DFE;3.2;2.9
HA-22DT;3.2;2.9
HA-22DTE;3.2;2.9
HA-22DF;3.2;2.9
HA-22DFE;3.2;2.9
HC-30DT;5;4.2
HC-30DTE;5;4.2
HC-30DF;5;4.2
HC-30DFE;5;4.2
HB-30DT;5;4.2
HB-30DTE;5;4.2
HB-30DF;5;4.2
HB-30DFE;5;4.2
HC-37DT;6.2;5.25
HC-37DTE;6.2;5.25
HC-37DF;6.2;5.25
HC-37DFE;6.2;5.25
HB-37DT;6.2;5.25
HB-37DTE;6.2;5.25
HB-37DF;6.2;5.25
HB-37DFE;6.2;5.25
HA-37DT;6.2;5.25
HA-37DTE;6.2;5.25
HA-37DF;6.2;5.25
HA-37DFE;6.2;5.25
HC-45DT;7.3;6.6
HC-45DTE;7.3;6.6
HC-45DF;7.3;6.6
HC-45DFE;7.3;6.6
HB-45DT;7.3;6.6
HB-45DTE;7.3;6.6
HB-45DF;7.3;6.6
HB-45DFE;7.3;6.6
HA-45DT;7.3;6.6
HA-45DTE;7.3;6.6
HA-45DF;7.3;6.6
HA-45DFE;7.3;6.6
HC-55DT;9.2;8.5
HC-55DTE;9.2;8.5
HC-55DF;9.2;8.5
HC-55DF 8;9.2;8.5
HC-55DFE;9.2;8.5
HB-55DT;9.2;8.5
HB-55DTE;9.2;8.5
HB-55DF;9.2;8.5
HB-55DF 8;;
HB-55DF 10;;
HB-55DFE;9.2;8.5
HA-55DT;9.2;8.5
HA-55DTE;9.2;8.5
HA-55DF;9.2;8.5
HA-55DFE;9.2;8.5
BS-75DT;;
BS-75DTE;;
BS-75DF;;
BS-75DFE;;
HC-75DT;13;11.8
HC-75DTE;13;11.8
HC-75DF;13;11.8
HC-75DFE;13;11.8
HB-75DT;13;11.8
HB-75DTE;13;11.8
HB-75DF;13;11.8
HB-75DF 8;;
HB-75DFE;13;11.8
HA-75DT;13;11.8
HA-75DTE;13;11.8
HA-75DF;13;11.8
HA-75DFE;13;11.8
BS-90DT;;
BS-90DTE;;
BS-90DF;;
